align_first,avg,align_same,align_diff,misalign_same,misalign_diff
0,719.2583839329241,914.4775000037262,783.455375003352,542.4733750052219,636.627285719396
1,625.2931785714381,510.32771428569686,500.3120000000511,799.8297500000244,690.7032499999805
1,672.4798943459131,689.9800000000047,579.2091249970199,709.7821666825608,710.948285704067
1,556.5965291620582,491.67020000118646,481.91937498733387,601.9141666656724,650.8823749940402
0,607.3075758803528,543.8995714081351,674.8408749806295,553.7559999982976,656.7338571343488
1,907.6831428577078,1026.2570000017877,853.0285714281532,842.0533999999985,909.3936000008922
1,788.2928854183723,610.3840000017896,573.3588333356942,854.5828333346968,1114.8458750013087
0,783.3817009435213,821.2283750357619,861.1437143436176,729.7965714864715,721.3581429082343
0,1206.2843958458127,1625.217833345254,1199.8436250134118,1012.638500010431,987.437625014154
1,1011.2975625569214,1077.2730000953597,876.8058750476885,1183.7870000429161,907.3243750417214
0,845.5416666666673,1161,815.6666666666691,665.6666666666666,739.8333333333334
0,730.8986770823155,876.5593333322176,641.1971666662915,693.1423749991627,712.69583333159
1,710.8840729031318,997.8251666467986,673.4964285595094,602.2941249836076,569.9205714226118
1,912.7503124029131,766.6859999046262,674.925857197327,1139.7112498569186,1069.6781426527803
1,762.764650274773,923.4833333134787,674.3848571156102,739.1241249761515,714.0662856938517
0,837.2544642857335,1048.5,767.7500000000146,870.1428571428904,662.6250000000291
0,776.1002187502199,779.2138750002559,787.9887500001787,747.6555000002045,789.5427500002406
0,857.8469809573289,758.8121666716567,888.4795000035083,961.5288571487846,822.5674000053666
0,991.1100386920066,965.4695714309097,1268.592333334321,976.90462500168,753.4736250011156
0,711.9006059552582,706.9514000032766,722.733166670639,675.0792857166297,742.8385714304875
1,760.8396249999205,737.452571428464,893.731499999878,655.9977142856806,756.1767142856594
0,779.7832410715644,994.4020000006072,715.8347142855138,659.903124999415,748.9931250007212
0,726.1872694552239,954.0317501370937,715.6131667540831,612.9828751132518,622.1212858164674
0,560.1390476191559,522.1768333452565,589.9245000059636,501.4869999910625,626.9678571343413
0,1036.9418824653812,1107.0561250297997,934.7365714507074,1051.8735000238376,1054.1013333571802
0,721.0912232220263,895.0521428588441,830.1480000017036,641.7028750156423,517.4618750119153
0,585.2916562400288,591.7654999881051,593.6807142806023,550.096285704066,605.6241249873419
1,712.9081625030002,777.7886000023864,602.0872500048426,742.4238000020894,729.3330000026821
1,1053.3607142857165,965.1428571428654,833.2,1106.500000000001,1308.6
1,671.5311458309103,682.3847499903204,692.0304999947912,647.3238333363066,664.3855000022231
1,835.0025249999962,1069.8392000000108,857.3133749999979,714.081124999997,698.7763999999792
0,734.6147678059456,629.7637499344373,750.3865713876991,721.0807499493349,837.2279999523113
1,632.2187500000023,715.0000000000073,639.1428571428571,591.8571428571449,582.875
